deflection,time
29.3,1606108834.085284
29.5,1606108834.304284
29.3,1606108834.525284
29.5,1606108834.745284
29.3,1606108835.406284
29.4,1606108835.659284
29.3,1606108836.320284
29.4,1606108836.763284
29.3,1606108838.277284
29.5,1606108838.497284
29.4,1606108838.938284
29.5,1606108839.159284
29.3,1606108840.293284
29.6,1606108841.397284
29.2,1606108841.618284
29.5,1606108841.869284
29.4,1606108842.090284
29.6,1606108842.532284
29.5,1606108842.974284
29.4,1606108845.257284
29.5,1606108847.050284
29.3,1606108847.271284
29.5,1606108847.964284
29.3,1606108848.184284
29.5,1606108848.625284
29.3,1606108848.847284
29.4,1606108849.068284
29.2,1606108849.289284
29.4,1606108849.510284
29.5,1606108850.646284
29.3,1606108851.088284
29.5,1606108851.529284
29.4,1606108851.750284
29.5,1606108852.186284
29.3,1606108852.626284
29.5,1606108852.848284
29.3,1606108853.069284
29.5,1606108853.731284
29.3,1606108854.203284
29.4,1606108854.644284
29.3,1606108856.660284
29.4,1606108856.880284
29.3,1606108857.101284
29.4,1606108857.542284
29.5,1606108858.896284
29.4,1606108859.116284
29.5,1606108859.776284
29.3,1606108860.910284
29.5,1606108861.131284
29.3,1606108861.795284
29.5,1606108862.016284
29.3,1606108862.927284
29.3,1606109144.740245
29.4,1606109144.961245
29.5,1606109147.874245
29.3,1606109148.093245
29.5,1606109148.314245
29.4,1606109148.533245
29.3,1606109148.783245
29.5,1606109149.886245
29.4,1606109150.106245
29.3,1606109150.548245
29.4,1606109151.461245
29.2,1606109151.903245
29.4,1606109152.343245
29.5,1606109153.974245
29.3,1606109154.636245
29.4,1606109154.886245
29.3,1606109155.328245
29.5,1606109155.550245
29.3,1606109156.216245
29.5,1606109156.437245
29.4,1606109156.658245
29.5,1606109156.909245
29.4,1606109157.350245
29.5,1606109157.792245
29.4,1606109158.233245
29.5,1606109158.673245
29.2,1606109159.585245
29.4,1606109159.807245
29.3,1606109160.689245
29.5,1606109160.939245
29.3,1606109161.380245
29.5,1606109162.264245
29.4,1606109162.484245
29.3,1606109162.706245
29.4,1606109162.957245
29.3,1606109164.723245
29.5,1606109164.971245
29.4,1606109165.192245
29.2,1606109166.072245
29.4,1606109166.292245
29.3,1606109167.204245
29.5,1606109167.646245
29.3,1606109168.752245
29.4,1606109169.002245
29.3,1606109169.664245
29.4,1606109170.103245
29.5,1606109170.766245
29.3,1606109171.016245
29.5,1606109171.675245
29.5,1606109172.117245
29.4,1606109173.473245
29.5,1606109175.098245
29.3,1606109176.201245
29.4,1606109177.994245
29.3,1606109178.215245
29.5,1606109178.434245
29.3,1606109178.874245
29.4,1606109179.939245
29.5,1606109181.294245
29.4,1606109181.515245
29.5,1606109181.957245
29.3,1606109182.179245
29.5,1606109183.062245
29.4,1606109183.312245
29.5,1606109184.196245
29.3,1606109184.637245
29.5,1606109184.857245
29.3,1606109185.330245
29.3,1606109186.876245
29.5,1606109187.789245
29.3,1606109189.114245
29.4,1606109191.447245
29.3,1606109191.890245
29.5,1606109192.333245
29.3,1606109193.217245
29.4,1606109193.467245
29.1,1606109193.906245
29.3,1606109194.127245
29.2,1606109194.348245
29.5,1606109194.567245
29.3,1606109195.007245
29.6,1606109195.756245
29.3,1606109195.977245
29.4,1606109196.198245
29.5,1606109197.080245
29.4,1606109197.551245
29.3,1606109198.434245
29.5,1606109198.877245
29.3,1606109199.097245
29.5,1606109199.318245
29.3,1606109199.569245
29.5,1606109200.229245
29.3,1606109200.670245
29.5,1606109200.890245
29.4,1606109201.332245
29.5,1606109205.363245
29.3,1606109205.613245
29.7,1606109206.498245
29.4,1606109206.719245
29.5,1606109207.382245
29.4,1606109208.131245
29.5,1606109208.351245
29.4,1606109208.791245
29.2,1606109209.012245
29.5,1606109209.235245
29.6,1606109209.455245
