sensors,temperature,humidity,count,time
"-273,-273,-273,-273,25.3,23,23.8,21.6",21,32,0,1606152101.185349
"-273,-273,-273,-273,25.3,23,23.8,21.6",0,32,0,1606152119.745341
"-273,-273,-273,-273,25.3,23,23.8,21.6",21,32,0,1606152138.305698
"-273,-273,-273,-273,25.3,23,23.8,21.6",21,32,0,1606152156.865358
"-273,-273,-273,-273,25.3,23,23.8,21.6",21,32,0,1606152175.425431
"-273,-273,-273,-273,25.3,23,23.8,21.6",21,32,0,1606152193.985349
"-273,-273,-273,-273,25.3,23,23.8,21.6",0,32,0,1606152212.545322
"-273,-273,-273,-273,25.3,23,23.9,21.6",21,32,0,1606152231.105347
"-273,-273,-273,-273,25.4,23,23.9,21.6",21,32,0,1606152249.665429
"-273,-273,-273,-273,25.4,23,23.9,21.6",0,32,0,1606152268.225345
"-273,-273,-273,-273,25.4,23,23.9,21.6",21,32,0,1606152286.785314
"-273,-273,-273,-273,25.4,23,23.9,21.6",0,32,0,1606152305.345408
"-273,-273,-273,-273,25.4,23,23.9,21.6",21,32,0,1606152323.90534
"-273,-273,-273,-273,25.4,23,23.9,21.6",21,32,0,1606152342.465345
"-273,-273,-273,-273,25.4,23,23.9,21.6",21,32,0,1606152361.025312
"-273,-273,-273,-273,25.4,23,23.9,21.6",21,32,0,1606152379.585414
"-273,-273,-273,-273,25.4,23,23.9,21.6",21,32,0,1606152398.145346
"-273,-273,-273,-273,25.4,23,24,21.6",21,32,0,1606152416.70534
"-273,-273,-273,-273,25.4,23,24,21.6",21,32,0,1606152435.265406
"-273,-273,-273,-273,25.4,23,24,21.6",21,32,0,1606152453.825382
"-273,-273,-273,-273,25.4,23,24,21.6",21,32,0,1606152472.385368
"-273,-273,-273,-273,25.4,23,24,21.6",21,32,0,1606152490.945336
"-273,-273,-273,-273,25.4,22.9,24,21.6",21,32,0,1606152509.505311
"-273,-273,-273,-273,25.4,23,24.1,21.6",21,32,0,1606152528.065352
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152546.625638
"-273,-273,-273,-273,25.4,23,24.1,21.6",21,32,0,1606152565.185572
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152583.745681
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152602.315449
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152620.865358
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152639.425348
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152657.985313
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152676.545392
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152695.105347
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152713.665343
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152732.225322
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",0,32,0,1606152750.78539
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",0,32,0,1606152769.345341
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152787.905336
"-273,-273,-273,-273,25.5,22.9,24.1,21.6",21,32,0,1606152806.465325
"-273,-273,-273,-273,25.5,22.9,24.1,21.6",21,32,0,1606152825.025404
"-273,-273,-273,-273,25.5,22.9,24.1,21.6",21,32,0,1606152843.585412
"-273,-273,-273,-273,25.4,22.9,24.1,21.6",21,32,0,1606152862.145769
"-273,-273,-273,-273,25.5,22.9,24.1,21.6",21,32,0,1606152880.705316
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",0,32,0,1606152899.265342
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",0,32,0,1606152917.825349
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",21,32,0,1606152936.385336
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",21,32,0,1606152954.945339
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",21,32,0,1606152973.505347
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",21,32,0,1606152992.065347
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",21,32,0,1606153010.705421
"-273,-273,-273,-273,25.5,22.9,24.2,21.6",21,32,0,1606153029.265404
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153047.825967
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153066.385291
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153084.945351
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",0,32,0,1606153103.505373
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153122.065323
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153140.62535
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153159.185413
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",0,32,0,1606153177.745346
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153196.305386
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153214.865362
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",0,32,0,1606153233.425259
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153251.985507
"-273,-273,-273,-273,25.5,22.9,24.2,21.5",21,32,0,1606153270.545379
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153289.105417
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",0,32,0,1606153307.665353
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",0,32,0,1606153326.225354
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153344.945361
"-273,-273,-273,-273,25.6,22.9,24.2,21.4",21,32,0,1606153363.705351
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153382.465364
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153401.025365
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153419.66535
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153438.305345
"-273,-273,-273,-273,25.6,22.9,24.2,21.5",21,32,0,1606153457.025823
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153475.745495
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",0,32,0,1606153494.305407
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153512.945723
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153531.66547
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153550.385344
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153568.945337
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",0,32,0,1606153587.505344
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153606.106082
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153624.625344
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153643.185351
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",0,32,0,1606153661.745346
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153680.305343
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153698.865338
"-273,-273,-273,-273,25.6,22.8,24.3,21.5",21,32,0,1606153717.425318
"-273,-273,-273,-273,25.6,22.9,24.3,21.5",21,32,0,1606153735.98535
"-273,-273,-273,-273,25.6,22.9,24.4,21.6",21,32,0,1606153754.545347
"-273,-273,-273,-273,25.6,22.8,24.4,21.5",21,32,0,1606153773.105351
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606153791.665308
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",0,32,0,1606153810.225349
"-273,-273,-273,-273,25.6,22.9,24.4,21.6",0,32,0,1606153831.585056
"-273,-273,-273,-273,25.6,22.9,24.4,21.6",21,32,0,1606153850.14596
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606153868.705348
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",0,32,0,1606153887.2661
"-273,-273,-273,-273,25.6,22.9,24.4,21.6",21,32,0,1606153905.825358
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606153924.465355
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606153943.025324
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606153961.585365
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606153980.145403
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606153998.705345
"-273,-273,-273,-273,25.7,22.8,24.4,21.6",21,32,0,1606154017.265352
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",0,32,0,1606154035.825372
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",0,32,0,1606154054.385349
"-273,-273,-273,-273,25.6,22.8,24.4,21.6",21,32,0,1606154072.945351
"-273,-273,-273,-273,25.7,22.8,24.4,21.6",21,32,0,1606154091.505242
"-273,-273,-273,-273,25.7,22.8,24.4,21.6",21,32,0,1606154110.065343
"-273,-273,-273,-273,25.7,22.8,24.4,21.6",21,32,0,1606154128.625351
