name,time,filled,hum,location,mag,pressure,temp,x_axis,y_axis,z_axis
unit_3,1573507846370996000,7,38,car,,108.5,23,,,
unit_3,1573507856394868000,7,39,car,,107.879997,23,,,
unit_3,1573507866418868000,7,39,car,,108.5,23,,,
unit_3,1573507876441528000,7,39,car,,108.5,23,,,
unit_3,1573507886463788000,7,39,car,,107.889999,23,,,
unit_3,1573507896485420000,7,39,car,,107.900002,23,,,
unit_3,1573507906508384000,7,38,car,,108.519997,23,,,
unit_3,1573507916531216000,7,38,car,,108.519997,23,,,
unit_3,1573507926555436000,7,38,car,,107.900002,23,,,
unit_3,1573507936577996000,7,38,car,,108.510002,23,,,
unit_3,1573507946599892000,7,38,car,,107.279999,23,,,
unit_3,1573507956622876000,7,38,car,,108.510002,23,,,
unit_3,1573507966647092000,7,38,car,,107.889999,23,,,
unit_3,1573507976669620000,7,38,car,,108.510002,23,,,
unit_3,1573507986691416000,7,38,car,,108.510002,23,,,
unit_3,1573507996712316000,7,38,car,,108.5,23,,,
unit_3,1573508006733308000,7,38,car,,108.510002,23,,,
unit_3,1573508016754208000,7,38,car,,108.510002,23,,,
unit_3,1573508026778172000,7,38,car,,108.5,23,,,
unit_3,1573508036800984000,7,38,car,,108.510002,23,,,
unit_3,1573508046824112000,7,38,car,,107.889999,23,,,
unit_3,1573508056847176000,7,38,car,,108.5,23,,,
unit_3,1573508066869708000,7,38,car,,108.5,23,,,
unit_3,1573508076892756000,7,38,car,,107.279999,23,,,
unit_3,1573508086916792000,7,38,car,,107.889999,23,,,
unit_3,1573508096938572000,7,38,car,,108.510002,23,,,
unit_3,1573508106961696000,7,38,car,,108.510002,23,,,
unit_3,1573508116983612000,7,38,car,,108.510002,23,,,
unit_3,1573508127005108000,7,38,car,,108.510002,23,,,
unit_3,1573508137028340000,7,38,car,,108.5,23,,,
unit_3,1573508147052096000,7,37,car,,107.889999,23,,,
unit_3,1573508157074952000,7,37,car,,108.5,23,,,
unit_3,1573508167098116000,7,38,car,,108.5,23,,,
unit_3,1573516717013828000,7,40,car,,1.57,23,,,
unit_3,1573516727036916000,7,40,car,,1.57,23,,,
unit_3,1573516737059556000,7,40,car,,1.57,23,,,
